slot,signature,profit_sol,fee_lamports,protocols,is_mev_tip,signer
324115988,3hk313i5wXPXyCVmXnNShekDGb8vwKLdaU6T9sg25ucbRunhhXkxfQ2Quawy8rkYWUWWsJsbAz9sBmSc36xVWinm,0.001585,5000,Unknown,No,7hgc9gLJ3hQsLVgtQ1veRYcU1Cq6E9jusAFn2NpF7Yd
324115988,gVrVdPAKh7Pk12z4od933t1dy8b3urJqraFT64tidJ6wWuo9K7AjcTxeQhu5aGRMY5wPya3TPWa8Tah8dQFLfJV,0.002476,5000,Unknown,No,8Yg8jbtM3DAPvmffgxgLxQ1nsWCjXDqaSH1qjKEFCijt
324115988,vLjNnYaq939WpnqMhJ16tCpVFysaXJkVT1MRg3QYwcZwqAAk6PhpejGh91yHb38Xeujo9Ua6gnnvqybLE6yvLtX,0.001501,5000,Unknown,No,2exQA7ciSG72kmH1GnL2XYkya1nKEgsrouhZNtfLDtM9
324115988,2H2cLbgDnoxJCzGwCGE5FKpUgnPsRh3HyfwevZJb6q4pSm7JABwCpozLkduaUWgqZv5NVCNpVnS8wcpvNN9KZtzF,0.233023,5000,Unknown,No,qCuMBJxtyhQLaeqEzacgfPZE8dmGhT3Sw5KxFksp8fF
324115988,51xKX4gLfiDo457GZzdvJu7AXXxcRPss7P3ZVCZtXToJEB8GxXjzRUwzvUvKPnxjQSXvV5gQraoXC7uMN6rVmeg5,0.046892,5000,Unknown,No,GTh9GxjNJUYHd7ARWiVPjAgSFvWKyGBnVmExn6ZGAVor
324115988,2vPKHCd2ngVutCfJ8Hq3KLUvN3Whh33BbFkaiyE6DVJ2vrueTpTRxE1aN1zeLEZGdmszsmH7LfVfvexcTgmDfNYe,0.224923,5000,Unknown,No,9zFZWXQqiwjvpFBKRB9oCoEj1mHmWS8VVaQzrws4iTzp
324115988,39AWJ3veKBnL2C24ZK6cdcC4K3mqrpvx5BKYtdZsaULhwfzVxixYNYS8ZqmgYfSZnY8B17CnUPCcrQDzjre9Xq8h,0.032416,5000,Unknown,No,F8v7MBPJhX5Ptgv2koRczCcPu2DmrH5LAsAEGf35r79k
324115988,3RGmcR6QtDP7jQmNN8maLTCyCLuR9N92Fw44WRdCiGzoJkV7UdBEEqLgL2R9biZu6TKQTrVBusBFBwHxZiMCJawP,0.123588,5000,Unknown,No,Go8jQ8ZQLjW3MGY6A5MCotjcZ2qadYaYLggaLo2hPtrA
324115988,2JerArmtLcPDtpPQoq9Jo7MuW66s3Vdoaqi7Fo4xysdJEmLEqRvL8ZaGGq52gFSJgjgrVirnAcjTv6xZ9eerL7DN,0.54352,5000,Unknown,No,9r7ySzb9hN9AakGi4KTdf7Mzbv6Bza4hRMSdM3q7bCFt
324115988,2vSAjv45dpEeCP1VCegwsHLQXQAXM7yvC72FM7Wr7qB1eBymUdFfk3EYgaCYSF8fx2Z9SNgwq2SrBTYyabz6cDkz,0.675298,5000,Unknown,No,5naXSbqWDKqQUEeZeYJDKNZsEd1TEb85ehDUpbeHDX9q
324115988,36423RQzKsosWEGHnfFYASPMQp2ByZzG7kDJsczyctdXb61R6EMGk3KyvAABcQvR1mfjUPUF9Mi2BDA6Wo4CyPRx,0.083522,5000,Unknown,No,ACH1QD9WEhXuekXghkJewqhDqexVmYfzWqVEq6rEFwWs
324115988,2TTx9FmW5eWb6oghSchPrEwQYBZsXfBtESRiXRgdiGqzyVejQU8eWCdknJ3QJHhHmssqnUKKnSdSAboAiTd2QZnh,0.083932,5000,Unknown,No,Bq2BrnrvwwB29AA8o7K7UqjuNrtGhU6pRpp9gA7T3BAX
324115988,3wUr739zLGmsAUV6gnt4yvYVMKiHEoCCxrUUBif2KDm6EfUhKwcN6C2sboSU3bbbmsZnAMFgpcRziDJLBDm4eP2x,0.34936,5000,Unknown,No,BuPJkeces511CGDcZYjLBAY4SF4ZhbdnZ8z2mP8eZELg
324115988,53yUiNaxJ79qRkZjyUByTS6PecdpA2n6bc7WpgKFm53APELSDGNXkUZdfespjQ9q5mZLtZ8oMDNCRJdCbmWmnQbt,0.229688,5000,Unknown,No,CoejmMexMSN9dMBDSJMbDmUk8QCnT7H2TRWfrGY6q9gG
324115988,41dDgA1yKDmb9dcyC2LKUVowDYUuXiCNdxsohXtn2k65pmdT4odty57X2Qh7zWAs2nttexX1PCwN37W6Q4Hw2kYk,0.086611,5000,Unknown,No,33qQjRdxvAiVsrx6YNWA8GC976n8uZbhjLe18q1SSiF1
324115988,64FU8sJkVN7uGYunRH2Mpebrf3eoESQLogfwdeXVg3VjMuT7j9mGT9iSkhrzEmDfox3vKhZcgD1XNfDCGjdz4Uy5,0.19502,5000,Unknown,No,FiUBd61TQEMDMnjVgdHgZMKSdQ95Mc5VsQNpwwayMJVx
324115988,4xz1awedgxrmHz7jw42Tf3USQCZLdYixwuMhzR8H3hiMn7LZApUTmZvwG9Uk8wXDG1NmcjSQEe9igXUpeS2bSuBJ,0.148981,5000,Unknown,No,BYhRmfV6JMAsEzTqHCGPiZYp73HAQu8dvLesxSsdmrFY
324115988,34crs3CHnhPDVPFWY7VyyWY41zxb6aqJWyRjGMDtaqR1KFzxJhhWMVjHzn2CnCsczs2M8Bi8RjSEsZZeCkfdidFh,0.22725,5000,Unknown,No,GZqsjw3xCcSFtx8j31FrPAAiYqrrnFoe7KhTnJhHZSQ4
324115988,5A4KocjhASg7GTVXDbtNUmnwmz6fNhB1SL7VjPnbuC1aR7gbisYbpRJuwqHoKTzLrqLCv2dZn711WfVXwFtsMggS,0.205528,5000,Unknown,No,82JSySD6rfgmfDz52w3mDtRysFPtiUU5W1hg9WfRk2eg
324115988,4JkZvZTkxCyvat925gQfiGvnC39613WTFepktxbCaz7MpJ1DufT8N4DFcU6qWkgvaDBg6XXTDy85zqmu4vPdRWBo,0.253348,5000,Unknown,No,5kXDCVjm6snxXKCssXvBTFiKRrHurGY55E9vf4BFHuoL
324115988,Sp5fh1DKE52QTXYLjJACb3p3grek2ZjNw5RKnUkNyvTit1NQjQcsw5nBJqCZ5HtTjjUKzKcJ8TwWFYc4Ygm3sBJ,0.640694,5000,Unknown,No,6rPZzgRnZy8eR9kLazSekdg8cFGuejfDSKZLTyvH7JKq
324115988,42A7GfCEesCCbZALSTzxmgcVwQ2cqSAnEambdGBuenVkM96Yq6wd6cSynedCrkp5T3fXttwD6Q4kXrFeFYcSD6Um,0.357105,5000,Unknown,No,2QjQW27EUfHXYsTCzojJiA71BtrsNoxt8KcM9wMxpY5Q
324115988,5r1GFYKjYFxhUPkq7YmdyVCtTeWfmjb94G26hHDZJG5BAqH28FEBLvBaJ6ZGfpRcCUaReXmF9no8Q9cT8WFi3teY,2.624436,5000,Unknown,No,CyEeLdaWeRTopYNXXR1z1p2rrATszexy4qFy4bKppsGF
324115988,ukCddmhgfKxnnvkhevfDD5JsvMuz7CW7QQk24ScUNzruANfqU1JLMq8ddiPdVGwyDEKAAnM8RUMeHag6tSnB4sB,2.468646,5000,Unknown,No,CptARYVwnNcU6DPdp4P1pUN2Kc9HMy7cj7NwUA4GkhX7
324115988,4z9Eqe64AhfnRG2g2aXXrj5wtiMZfPvGYd81pCsZdCqoXBxCNZ3Z2d2BReAGEjxFiRAuPFRUzJ9X4sT7f9WDUoBv,0.75785,5000,Unknown,No,6US7DnfwQfSkKeLvBp4U7MCyGVe9oWkg5hYt7fjQyTqu
324115988,51PrDAnP1xSJR1RUhXQzi7CXK7ddpbpTF9fjX76rjzYgY2AxD14xPBC1cmAyyzabXFXjCo1idPx5nqoSpRMxd2DZ,2.551604,5000,Unknown,No,2s5zirTGUVRrNc2V9GWy7RwrSfpchbj1hDAykr7txnra
324115988,9iWTt8gf82VB1gLxpjDY6YNTxb3CFQq7zUiGErJxkrB9xWVSgoXPUJ3SadrCZwjyuLTgY9oFySAZuhRJ94RSxxE,0.200784,5000,Unknown,No,DWRR2E37TJup6q6zSbWGWmMKLMyoJBUR85psJbqZLogL
324115988,4xuBiLCdUhqzRe6xT71gKZDj8VDmnvFXTqh4QxKxMg6WncyUPptJcoWqwtxYPaR6Fu6D1JATMS8pCPafriXCx8Ay,0.254449,5000,Unknown,No,6gEG7iz1LVXSGUbj1uVN6SXyv44P6sDTubHD822ReKU3
324115988,4s68ry9EsDQRb68je8mNkFjaFtsfYNpqtu9w5Bgzv2g43hqLk8w9x6t5oE8yfyBZJpSYp5SwLB5vnGWrCgdcGrSp,0.312508,5000,Unknown,No,C2pBuZi7YpLuUqxJDWrcZCrpTAxKFqZfTJehKToofs5y
324115988,BcQBGBXWL2w3FpPzBvrJ1T6MoSkfJtDuPCQPpw1KLKkpE8XvKqj1V4oX4XcsP14fdFtGFCKSXmpaJn8FMHCCqyp,0.33121,5000,Unknown,No,EJC1z3urPWbVQa24B1gCyVVDjPBSxFB93HTSSqFFjqfq
324115988,VgtkXZV6suX8QS2EieB4joPEXyJHeva6vGsYYCVFNfXBYkuM78MRwrnJ1g9ELf7DtYtBxnBqoUUixWKraaBT4CF,0.299213,5000,Unknown,No,DgddrE7s7yeVJo7UxTeJpsf643TUk6hWHy4BVCu6cY4R
324115988,4RydBqdpnHHqnxUQPzAuScQnqGfiC5YkoVcEPJypg1Yfp1YbEiwXGGRnuZJpYyQw2R6BGc1mZtWxWAdtwmgFafdX,0.053829,5000,Unknown,No,4iqwMNRMaa439yj4ypGAYpEvfdcSANR8WxkGY9LqWs7g
324115988,4N3waepDNjKhP6KMM7ZoU6TpJag5o4pRiS7MR44yemhv1o9UMy2E3SBuGTAiSDUa43jEVqq7mG5CB4DPAzEv2jph,0.220612,5000,Unknown,No,6ytqqCMqrS8DSeEuWESQzr49gApiQDntheEHNAWQuMX5
