actor,trades,net_pnl_sum,net_pnl_abs_sum,size_sum,trade_share,cum_trade_share
GBeCNWb5VGZqbrsypVJJf48VeZcti5bv1tFm7Pw6Lvbd|0xfbd7d9533c43e065aa4d5ca9c6fb75744cee8b5d,10,408184.43337800005,408914.69018,1052311.23591,0.0003254254938331869,0.9834358423638905
Db1YP35srdg2RbeATWtHUM8cWM1hAVRAjWS3vWXv4Tp|0x5654336926ff7d024a30af40ab32d56f1178943f,9,50.231055,68.565091,375.0,0.0002928829444498682,0.9837287253083403
DdhrchwJMC17JDxmk9fsMr5RWvuUQpXdc8Lq76u452nf|0xdf1f6587aa741ff62cabb9bed8dad062713cf3ec,9,172.70102299999996,507.32205099999993,14698.08925,0.0002928829444498682,0.9840216082527902
FoRAFRoG8vnXjXpGWCEcQcHwXDEsMxyjup44d2uxEbqj|0x9919ff14557c67d2f27fbd05332eec68f480dc3b,9,846.397466,871.711088,9105.935609,0.0002928829444498682,0.98431449119724
hYXFJD9ntjpNCw7dgwGWKLUXAJZLku3St5Y45TX4JfH|0x4ba112fa04f3e360f8eb7444b776f9ebaed82fda,9,-1276.5257599999998,2315.953316,11715.99251,0.0002928829444498682,0.9846073741416899
GCry1R8jrCMRh3Gjp6cGE6QwJdW4fsDXLo2ZgA43EVEM|0xdffa2747524bf3fc801ce084ee389c2d1647cab7,9,63.533022,63.533022,4352.522691,0.0002928829444498682,0.9849002570861397
GpsCEqHyongM6emnnjVg9fB2xvWssEc8NwMxCtsaGZ7f|0xc5b0404cbd8b780712442c9d4fe80ba3ccf47acd,8,-45483.578886999996,45875.735595,48039.370868,0.00026034039506654953,0.9851605974812062
36SSB4eHsJUgNiRT5E4eA1VUq8KDvjmvUjo31nWZuvLE|0x9b0de5739e6c71ac8b1371cb8e450b41b26f451e,8,0.0,0.0,5970.0,0.00026034039506654953,0.9854209378762727
AiekwG2fLqq2WmNM2YK1dPDMXkRTBG5tzdWRRPFkZiLL|0x1aafacc008099845d6c35df8c5925c8e659c4400,7,456.04491399999995,480.27162799999996,1220.985671,0.00022779784568323081,0.985648735721956
81gTwnKz8hkpYjoPRGWGPCMQPFZqoM3idy2ytQ9ogP2Y|0x6f5884a6ba14297eab47aa52c4e739f0a11ff7c1,7,546.366895,626.627705,22000.0,0.00022779784568323081,0.9858765335676393
CoB9Bx4fXKm6Ucqsy4CD1BNC5vhKk6uvZ3pZEJwtz7JB|0xc91dc97074383cb4378c00dd346efc936d123260,7,-187.162263,205.873015,1598.3110270000002,0.00022779784568323081,0.9861043314133225
47jEfw2ejdDfQD9NZvuJ9TaxL39X2BsrHCdoT9M7abv4|0x98464f58c04e6ef1966d04ba2fc7fd50f153ff45,7,38.961448000000004,38.961448000000004,124.0,0.00022779784568323081,0.9863321292590058
E7hrSTDTiNHARbebHfTQZRsLbRwMgUnqYtwa5ym8ZJHK|0xd37f8a671b166dfe050de3941851c8b31a805c6d,7,1087.149353,1088.611423,120000.0,0.00022779784568323081,0.9865599271046891
GX1tM6m5Ypz6n5UDAL3CWhV9urJ8cBeTHwEfUhVbW46H|0x8eb3700c8d02abdfa6c4ca5976c7ba86be34422b,7,512.3952939999999,1069.74417,11898.234405,0.00022779784568323081,0.9867877249503724
4uPqk7wJYbkbCe8xmbWZnPCcWez9qoeHGJQXwteHz6gu|0xf14aa9ed0b6d90b7a49b782f6a9846bea8f0b333,6,0.0,0.0,0.0,0.00019525529629991212,0.9869829802466723
Cawp3wyd3adGXjt6Z1ZGYM9udy9EfJrrEZzni5nDArDh|0xe68d60b78584ca017e5786dc67480c1a084e2af5,6,430.975641,1286.8461750000001,14144.717044,0.00019525529629991212,0.9871782355429722
4CXGoocnkETuwGxQVVpLkU3sfi5SAEADYjnQHWT6f5tU|0x4a4de62d342719b9d629bd04796b8d813610b129,6,0.0,0.0,500.0,0.00019525529629991212,0.9873734908392722
8d1btBySHRjmxdQLB4pbeyGK9i1MSMRG6e9cTmQkHwLr|0x48dd4212ab26e0198b3f13f5e2ecb84f5feb5a94,6,0.6449189999999998,5.603831,608.0605410000001,0.00019525529629991212,0.9875687461355721
FsFbRMWJ35v5Da6eoYdeTAkwhyWnXLz4FhecmuEWfxqk|0x172c2e5332ba8f18760e0f2542bb62b4de61e3ec,6,89.755162,89.755162,158.0,0.00019525529629991212,0.987764001431872
7UeksZLbynGo16sY8beDgC62NsLkELLnbrTKJJQ9BByM|0xbcf1d8f8e1b11a85c99d780fc2ed2a42eda7a047,5,0.0,0.0,297.092455,0.00016271274691659346,0.9879267141787886
BVCnYaL4ERy5QtShrWvc6n3Xz7v3BhJrzLow3fjnVGP1|0x881d79fb3442e52ae955580cec2fbf8cb4481efa,5,8251.674681,8251.674681,9406.0,0.00016271274691659346,0.9880894269257052
4bf9XNLb4oyguzkVYc98AZWD9oX1VNwpPpy6rR8w3FyZ|0xd0c5e08b704bbc7205581b94faf5f8e91a37c498,5,3339.2678149999997,3345.6632569999997,13120.094981999999,0.00016271274691659346,0.9882521396726218
9pJcMVh13pDFF2ECvaqKomdzXtWb84vZpR9EiQgMEwsL|0xb4d78bca90b4c35bb6a962d6c7475aa087ec1dde,5,0.0,0.0,2472.4030119999998,0.00016271274691659346,0.9884148524195384
CFUJvpdm98qfod8HU18uhUdqhYQee2phGELFoysgVhCt|0x0ffad609d35c4bef104ee245a9c4c891d463aa2a,5,1327.842733,1327.842733,3442.6820049999997,0.00016271274691659346,0.988577565166455
27WncU9SwRstZyYa2ua1aaDnDZL3rnW7CEktQ8xu1kA8|0x96158f27cbe6a3a661edd71d40ffcb7b15352797,5,2956.2661989999997,2956.2661989999997,530.25441,0.00016271274691659346,0.9887402779133716
