category,symbol,datetime_utc,volatility,open,high,low,close,volume,slot_start,slot_end
high,SOLUSDT,2024-08-05 06:24 UTC,0.04447919381461215,115.11,115.12,110.0,111.45,108089.958,281657024,281657174
high,SOLUSDT,2024-03-05 19:55 UTC,0.04345973583297822,117.35,120.1,115.0,117.25,109909.03,252308322,252308472
high,SOLUSDT,2024-04-13 20:07 UTC,0.04340962904498816,126.7,128.0,122.5,123.62,112832.91,259953440,259953590
high,SOLUSDT,2024-08-05 13:30 UTC,0.04328886468826569,110.19,114.8,110.03,114.79,56202.53,281715548,281715698
high,SOLUSDT,2024-04-13 20:10 UTC,0.04287965497221521,120.57,125.1,119.93,121.21,62716.88,259953731,259953881
high,BTCUSDT,2024-02-28 17:31 UTC,0.042494001993976994,61274.53,61303.8,58700.0,59580.59,1185.07305,251028283,251028433
high,SOLUSDT,2025-10-10 21:32 UTC,0.04196223944123103,183.26,188.95,181.26,185.7,28821.324,372525766,372525916
high,SOLUSDT,2026-01-31 18:44 UTC,0.041053606338100575,97.19,100.39,96.4,100.28,183573.654,397186591,397186741
high,SOLUSDT,2024-08-05 01:14 UTC,0.040463357734695414,124.31,129.2,124.17,128.44,81137.552,281613740,281613890
high,SOLUSDT,2025-10-10 21:40 UTC,0.040428395200179316,178.34,185.23,178.02,181.89,33924.216,372526973,372527123
high,BTCUSDT,2025-10-10 21:20 UTC,0.04024123591625896,104113.85,106189.67,102000.0,104384.6,920.80756,372523952,372524102
high,SOLUSDT,2024-12-09 21:04 UTC,0.03978206754027523,212.91,214.47,206.0,206.89,140892.949,306465336,306465486
high,SOLUSDT,2024-04-13 20:22 UTC,0.03965421524308045,126.09,128.02,123.02,124.04,61766.31,259955302,259955452
high,SOLUSDT,2024-03-05 20:00 UTC,0.03891311640389132,119.24,121.85,117.21,121.51,83106.83,252309060,252309210
high,SOLUSDT,2025-10-10 21:25 UTC,0.038646513225695636,174.66,180.0,173.25,177.09,40363.918,372524714,372524864
high,SOLUSDT,2024-08-05 01:10 UTC,0.03840075853350189,126.56,126.86,122.0,122.82,132752.9,281613168,281613318
high,SOLUSDT,2025-10-10 20:59 UTC,0.03773774276107798,199.27,200.52,193.0,196.84,172090.039,372520789,372520939
high,SOLUSDT,2024-03-05 19:53 UTC,0.03770255093855289,124.66,124.7,120.0,121.43,158828.92,252308029,252308179
high,BTCUSDT,2025-10-10 21:21 UTC,0.037456604505086435,104411.76,107166.0,103255.09,106766.11,679.96494,372524103,372524253
high,SOLUSDT,2025-10-10 21:29 UTC,0.037279684601113215,172.48,177.11,170.68,174.74,34892.188,372525323,372525473
high,SOLUSDT,2024-08-05 14:00 UTC,0.037275693311582446,122.6,127.17,122.6,126.55,98657.608,281719748,281719898
high,SOLUSDT,2024-08-05 05:13 UTC,0.03697151954714317,113.06,116.89,112.71,116.41,137186.141,281646989,281647139
high,SOLUSDT,2025-10-10 21:33 UTC,0.03683558619204052,185.69,188.16,181.32,185.48,29433.272,372525915,372526065
high,BTCUSDT,2025-10-10 21:17 UTC,0.03674353574140013,109022.17,110671.86,106666.0,108066.05,1226.43408,372523497,372523647
high,SOLUSDT,2024-08-05 01:15 UTC,0.03673723536737246,128.48,132.27,127.55,131.55,72976.715,281613882,281614032
high,SOLUSDT,2025-10-10 21:28 UTC,0.03644580080990673,170.39,175.0,168.79,172.48,28449.296,372525168,372525318
high,SOLUSDT,2024-04-13 19:56 UTC,0.036363636363636404,134.75,134.9,130.0,131.59,93253.42,259951919,259952069
high,SOLUSDT,2025-03-02 15:25 UTC,0.036319104268719364,142.9,148.0,142.81,148.0,103368.831,324115536,324115686
high,SOLUSDT,2025-10-10 21:13 UTC,0.03582546298738982,189.53,189.79,183.0,186.25,100796.701,372522893,372523043
high,SOLUSDT,2025-03-02 15:28 UTC,0.03576642335766415,150.7,155.98,150.59,155.7,228702.154,324115988,324116138
high,SOLUSDT,2025-10-10 21:41 UTC,0.03560439560439555,182.0,187.44,180.96,186.17,24525.913,372527122,372527272
high,SOLUSDT,2024-04-13 20:03 UTC,0.03493314784759263,129.39,132.81,128.29,132.02,40533.99,259952827,259952977
high,SOLUSDT,2024-12-09 21:05 UTC,0.03493153998742077,206.69,210.22,203.0,209.58,108948.73,306465477,306465627
high,SOLUSDT,2024-04-12 18:37 UTC,0.033994904116937064,149.14,154.0,148.93,151.99,52646.75,259759844,259759994
high,SOLUSDT,2026-01-31 17:11 UTC,0.033953577594475405,104.26,104.54,101.0,101.35,275244.656,397172599,397172749
high,SOLUSDT,2025-10-10 21:27 UTC,0.033879781420765115,173.85,175.3,169.41,170.4,47222.224,372525016,372525166
high,SOLUSDT,2025-02-03 02:07 UTC,0.033812434605429736,181.59,182.48,176.34,177.58,65531.555,318110690,318110840
high,SOLUSDT,2024-04-12 18:33 UTC,0.03377483443708606,151.0,154.0,148.9,152.91,93710.78,259759332,259759482
high,SOLUSDT,2025-10-10 21:22 UTC,0.03374609549308351,179.28,181.05,175.0,177.14,37882.778,372524257,372524407
high,SOLUSDT,2024-08-05 05:10 UTC,0.033635833818999185,120.11,120.19,116.15,117.8,200893.83,281646560,281646710
high,SOLUSDT,2024-04-13 20:24 UTC,0.033382185311838536,122.82,124.76,120.66,124.66,54245.53,259955572,259955722
high,SOLUSDT,2025-10-10 21:43 UTC,0.033157213715764536,185.48,190.15,184.0,189.58,56526.633,372527424,372527574
high,SOLUSDT,2024-08-05 13:33 UTC,0.032990947075208846,114.88,118.32,114.53,118.32,63320.548,281716280,281716430
high,SOLUSDT,2024-08-05 05:12 UTC,0.03257608229747104,116.65,116.8,113.0,113.07,207900.109,281646845,281646995
high,SOLUSDT,2025-04-07 13:51 UTC,0.03243295575563954,103.29,106.62,103.27,106.62,107243.381,331901787,331901937
high,SOLUSDT,2024-04-13 20:08 UTC,0.03211454457207571,123.62,124.97,121.0,121.0,95296.39,259953480,259953630
high,SOLUSDT,2024-12-09 22:22 UTC,0.03157394198763678,210.3,211.49,204.85,208.25,91375.667,306476528,306476678
high,SOLUSDT,2024-08-05 05:11 UTC,0.03148871159395683,117.82,118.72,115.01,116.66,138812.909,281646704,281646854
high,SOLUSDT,2024-08-05 06:22 UTC,0.031206777316735816,115.68,116.23,112.62,115.61,111063.04,281656732,281656882
high,BTCUSDT,2025-10-10 21:46 UTC,0.025875137294370732,112076.7,113400.0,110500.0,113169.4,402.20824,372527877,372528027
high,BTCUSDT,2024-02-28 17:25 UTC,0.02469314848931142,62677.71,62677.71,61130.0,61333.67,837.70769,251027395,251027545
high,BTCUSDT,2024-08-08 01:44 UTC,0.02389994239494664,56054.11,57381.36,56041.67,57346.54,651.01638,282226055,282226205
high,BTCUSDT,2024-03-05 05:03 UTC,0.02329571038333392,66626.0,66641.1,65089.0,65730.01,899.66304,252177310,252177460
high,BTCUSDT,2024-08-05 01:11 UTC,0.02257234436368561,53162.4,54000.0,52800.0,53490.37,863.86435,281613314,281613464
high,BTCUSDT,2024-08-05 13:37 UTC,0.02254651044692606,51395.98,52436.8,51278.0,52181.34,511.59205,281716541,281716691
high,BTCUSDT,2025-10-10 21:23 UTC,0.021936227179013588,107193.0,108812.94,106461.53,107478.75,360.19041,372524410,372524560
high,BTCUSDT,2025-10-10 22:05 UTC,0.021688476568624458,113210.81,113335.06,110879.69,111644.19,371.55694,372530745,372530895
high,BTCUSDT,2024-03-05 15:05 UTC,0.021227376822375608,68543.09,68554.99,67100.0,67597.08,773.33673,252265832,252265982
high,BTCUSDT,2024-04-12 18:34 UTC,0.021068863133701467,66595.43,67889.9,66486.81,66560.0,534.14548,259759468,259759618
high,BTCUSDT,2025-10-10 21:16 UTC,0.02016402986799628,111096.84,111240.16,109000.0,109000.0,1016.48662,372523346,372523496
high,BTCUSDT,2024-12-05 22:31 UTC,0.019653365791701856,94480.0,96097.79,94240.94,96080.01,664.82172,305644785,305644935
high,BTCUSDT,2025-02-03 02:08 UTC,0.019618355917343806,91261.47,93021.4,91231.0,92507.96,522.86541,318110836,318110986
high,BTCUSDT,2025-10-10 21:26 UTC,0.01916495627717613,107051.64,107051.64,105000.0,106582.03,376.84539,372524864,372525014
high,BTCUSDT,2024-08-05 06:25 UTC,0.018777230814370296,49351.26,50241.22,49314.54,49705.23,1001.04293,281657166,281657316
high,BTCUSDT,2025-01-20 17:06 UTC,0.018189589638016153,103104.58,103276.44,101401.01,103275.53,753.40557,315254050,315254200
high,BTCUSDT,2025-04-09 17:19 UTC,0.01809967838591087,77791.99,79058.0,77649.99,78932.3,881.30615,332367225,332367375
high,BTCUSDT,2024-03-04 00:49 UTC,0.01809513360270783,63435.84,63447.88,62300.0,62404.92,578.42948,251929124,251929274
high,BTCUSDT,2025-01-20 17:05 UTC,0.01752103404732052,104468.72,104880.4,103050.0,103104.58,581.83868,315253903,315254053
high,BTCUSDT,2025-10-10 21:45 UTC,0.01747411425330339,110809.05,112207.44,110271.15,112122.14,392.02459,372527729,372527879
high,BTCUSDT,2024-05-15 12:30 UTC,0.017267182920842884,62661.64,63743.62,62661.63,63630.45,1451.73937,265925996,265926146
high,BTCUSDT,2025-10-10 20:56 UTC,0.017170886981931085,114918.35,115012.25,113039.0,114409.94,924.45999,372520333,372520483
high,BTCUSDT,2024-12-05 22:29 UTC,0.017073076757452694,92656.41,94233.32,92651.39,94115.9,796.10912,305644496,305644646
high,BTCUSDT,2025-01-20 06:56 UTC,0.017024547223921892,109185.87,109588.0,107729.16,107983.8,761.03587,315164353,315164503
high,BTCUSDT,2024-08-27 22:14 UTC,0.016838596241602583,59035.8,59194.08,58200.0,58394.7,577.58902,286224777,286224927
low,BTCUSDT,2025-10-04 08:13 UTC,8.16061260312061e-08,122539.82,122539.83,122539.82,122539.83,1.83069,371095646,371095796
low,BTCUSDT,2025-10-04 06:35 UTC,8.160827058457005e-08,122536.6,122536.6,122536.59,122536.59,1.15727,371080707,371080857
low,BTCUSDT,2025-10-04 04:56 UTC,8.162531673489028e-08,122511.01,122511.01,122511.0,122511.0,0.63356,371065697,371065847
low,BTCUSDT,2025-10-04 04:57 UTC,8.162531673489028e-08,122511.01,122511.01,122511.0,122511.0,1.35335,371065848,371065998
low,BTCUSDT,2025-10-04 06:29 UTC,8.162768884107232e-08,122507.45,122507.46,122507.45,122507.45,2.61649,371079802,371079952
low,BTCUSDT,2025-10-04 04:51 UTC,8.162917461608012e-08,122505.22,122505.22,122505.21,122505.22,2.8704,371064942,371065092
low,BTCUSDT,2025-10-04 04:52 UTC,8.162917461608012e-08,122505.22,122505.22,122505.21,122505.22,3.47136,371065088,371065238
low,BTCUSDT,2025-10-04 06:47 UTC,8.162917461608012e-08,122505.22,122505.22,122505.21,122505.22,0.53092,371082547,371082697
low,BTCUSDT,2025-10-04 04:41 UTC,8.163265968235025e-08,122499.99,122500.0,122499.99,122499.99,3.03802,371063416,371063566
low,BTCUSDT,2025-10-04 06:50 UTC,8.163854444119254e-08,122491.16,122491.16,122491.15,122491.15,0.84536,371083009,371083159
low,BTCUSDT,2025-10-04 06:51 UTC,8.163854444119254e-08,122491.16,122491.16,122491.15,122491.16,1.86456,371083158,371083308
low,BTCUSDT,2025-10-04 06:58 UTC,8.166107107119246e-08,122457.37,122457.37,122457.36,122457.37,0.68801,371084227,371084377
low,BTCUSDT,2025-10-04 14:18 UTC,8.166728661470158e-08,122448.05,122448.06,122448.05,122448.05,1.65957,371150971,371151121
low,BTCUSDT,2025-10-04 05:05 UTC,8.16708349671827e-08,122442.73,122442.73,122442.72,122442.73,0.94975,371067067,371067217
low,BTCUSDT,2025-10-04 05:06 UTC,8.167084163730854e-08,122442.72,122442.73,122442.72,122442.73,0.55537,371067213,371067363
low,BTCUSDT,2025-10-04 08:05 UTC,8.167155534706785e-08,122441.65,122441.65,122441.64,122441.65,1.50243,371094420,371094570
low,BTCUSDT,2025-10-04 06:55 UTC,8.167423020209562e-08,122437.64,122437.64,122437.63,122437.64,1.65729,371083772,371083922
low,BTCUSDT,2025-10-04 13:41 UTC,8.167551099271774e-08,122435.72,122435.73,122435.72,122435.72,1.14854,371145373,371145523
low,BTCUSDT,2025-10-04 07:05 UTC,8.168527178865362e-08,122421.09,122421.1,122421.09,122421.1,1.18001,371085297,371085447
low,BTCUSDT,2025-10-04 09:18 UTC,8.168734019208542e-08,122417.99,122418.0,122417.99,122418.0,1.74923,371105502,371105652
low,BTCUSDT,2025-10-04 09:14 UTC,8.168990263593965e-08,122414.15,122414.15,122414.14,122414.15,2.50944,371104890,371105040
low,BTCUSDT,2025-10-04 07:02 UTC,8.169301248425519e-08,122409.49,122409.5,122409.49,122409.5,1.5838,371084835,371084985
low,BTCUSDT,2025-10-04 07:03 UTC,8.169301248425519e-08,122409.49,122409.5,122409.49,122409.5,0.9791,371084990,371085140
low,BTCUSDT,2025-10-04 23:48 UTC,8.169456082320432e-08,122407.17,122407.17,122407.16,122407.16,0.91303,371237418,371237568
low,BTCUSDT,2025-10-04 07:16 UTC,8.169527506646503e-08,122406.1,122406.1,122406.09,122406.1,1.86286,371086970,371087120
low,BTCUSDT,2025-10-04 13:45 UTC,8.169588241571477e-08,122405.19,122405.19,122405.18,122405.18,0.4917,371145978,371146128
low,BTCUSDT,2025-10-04 13:46 UTC,8.169588241571477e-08,122405.19,122405.19,122405.18,122405.19,0.54288,371146121,371146271
low,BTCUSDT,2025-10-04 09:26 UTC,8.170366517544931e-08,122393.53,122393.53,122393.52,122393.53,1.12795,371106706,371106856
low,BTCUSDT,2025-10-04 09:24 UTC,8.170367196983326e-08,122393.52,122393.52,122393.51,122393.52,1.3078,371106404,371106554
low,BTCUSDT,2025-10-04 04:36 UTC,8.170676271973143e-08,122388.89,122388.9,122388.89,122388.89,2.98672,371062655,371062805
low,BTCUSDT,2025-10-04 09:22 UTC,8.170785759759542e-08,122387.25,122387.25,122387.24,122387.24,0.75924,371106103,371106253
low,BTCUSDT,2025-10-04 13:59 UTC,8.17090793557052e-08,122385.42,122385.42,122385.41,122385.42,0.55998,371148096,371148246
low,BTCUSDT,2025-10-04 23:56 UTC,8.171270490635949e-08,122379.99,122379.99,122379.98,122379.99,0.79474,371238632,371238782
low,BTCUSDT,2025-10-04 23:57 UTC,8.171270490635949e-08,122379.99,122379.99,122379.98,122379.99,0.52947,371238783,371238933
low,BTCUSDT,2025-10-04 23:58 UTC,8.171270490635949e-08,122379.99,122379.99,122379.98,122379.99,0.81438,371238937,371239087
low,BTCUSDT,2025-10-04 13:54 UTC,8.171309217223081e-08,122379.41,122379.41,122379.4,122379.41,1.0105,371147335,371147485
low,BTCUSDT,2025-10-04 04:25 UTC,8.171463447623216e-08,122377.1,122377.11,122377.1,122377.11,1.99223,371060978,371061128
low,BTCUSDT,2025-10-04 13:33 UTC,8.172606090243477e-08,122359.99,122360.0,122359.99,122360.0,0.82704,371144145,371144295
low,BTCUSDT,2025-10-04 09:32 UTC,8.172962116288195e-08,122354.66,122354.66,122354.65,122354.65,1.51227,371107613,371107763
low,BTCUSDT,2025-10-04 09:33 UTC,8.172962784261347e-08,122354.65,122354.66,122354.65,122354.65,0.91936,371107763,371107913
low,BTCUSDT,2025-10-04 14:11 UTC,8.173196569677777e-08,122351.15,122351.15,122351.14,122351.14,0.97729,371149916,371150066
low,BTCUSDT,2025-10-04 23:51 UTC,8.17343573665846e-08,122347.57,122347.57,122347.56,122347.56,4.66085,371237872,371238022
